NPs,coresize,hydrosize,surfcharge,surfarea,Ec,Expotime,dosage,e,NOxygen,class
Al2O3,39.7,267,36.3,64.7,-1.51,24,0.001,1.61,3,nonToxic
Al2O3,39.7,267,36.3,64.7,-1.51,24,0.01,1.61,3,nonToxic
Al2O3,39.7,267,36.3,64.7,-1.51,24,0.1,1.61,3,nonToxic
Al2O3,39.7,267,36.3,64.7,-1.51,24,1,1.61,3,nonToxic
Al2O3,39.7,267,36.3,64.7,-1.51,24,5,1.61,3,nonToxic
Al2O3,39.7,267,36.3,64.7,-1.51,24,10,1.61,3,nonToxic
Al2O3,39.7,267,36.3,64.7,-1.51,24,20,1.61,3,nonToxic
Al2O3,39.7,267,36.3,64.7,-1.51,24,50,1.61,3,nonToxic
Al2O3,39.7,267,36.3,64.7,-1.51,24,100,1.61,3,nonToxic
Al2O3,39.7,267,36.3,64.7,-1.51,12,0.001,1.61,3,nonToxic
Al2O3,39.7,267,36.3,64.7,-1.51,12,0.01,1.61,3,nonToxic
Al2O3,39.7,267,36.3,64.7,-1.51,12,0.1,1.61,3,nonToxic
Al2O3,39.7,267,36.3,64.7,-1.51,12,1,1.61,3,nonToxic
Al2O3,39.7,267,36.3,64.7,-1.51,12,5,1.61,3,nonToxic
Al2O3,39.7,267,36.3,64.7,-1.51,12,10,1.61,3,nonToxic
Al2O3,39.7,267,36.3,64.7,-1.51,12,20,1.61,3,nonToxic
Al2O3,39.7,267,36.3,64.7,-1.51,12,50,1.61,3,nonToxic
Al2O3,39.7,267,36.3,64.7,-1.51,12,100,1.61,3,nonToxic
CuO,46.3,239,42.8,24.1,-5.17,24,0.001,1.9,1,nonToxic
CuO,46.3,239,42.8,24.1,-5.17,24,0.01,1.9,1,nonToxic
CuO,46.3,239,42.8,24.1,-5.17,24,0.1,1.9,1,nonToxic
CuO,46.3,239,42.8,24.1,-5.17,24,1,1.9,1,nonToxic
CuO,46.3,239,42.8,24.1,-5.17,24,5,1.9,1,nonToxic
CuO,46.3,239,42.8,24.1,-5.17,24,10,1.9,1,Toxic
CuO,46.3,239,42.8,24.1,-5.17,24,20,1.9,1,Toxic
CuO,46.3,239,42.8,24.1,-5.17,24,50,1.9,1,Toxic
CuO,46.3,239,42.8,24.1,-5.17,24,100,1.9,1,Toxic
CuO,46.3,239,42.8,24.1,-5.17,12,0.001,1.9,1,nonToxic
CuO,46.3,239,42.8,24.1,-5.17,12,0.01,1.9,1,nonToxic
CuO,46.3,239,42.8,24.1,-5.17,12,0.1,1.9,1,nonToxic
CuO,46.3,239,42.8,24.1,-5.17,12,1,1.9,1,nonToxic
CuO,46.3,239,42.8,24.1,-5.17,12,5,1.9,1,nonToxic
CuO,46.3,239,42.8,24.1,-5.17,12,10,1.9,1,nonToxic
CuO,46.3,239,42.8,24.1,-5.17,12,20,1.9,1,Toxic
CuO,46.3,239,42.8,24.1,-5.17,12,50,1.9,1,Toxic
CuO,46.3,239,42.8,24.1,-5.17,12,100,1.9,1,Toxic
Fe2O3,42.5,957,-8.2,82.8,-4.99,24,0.001,1.83,3,nonToxic
Fe2O3,42.5,957,-8.2,82.8,-4.99,24,0.01,1.83,3,nonToxic
Fe2O3,42.5,957,-8.2,82.8,-4.99,24,0.1,1.83,3,nonToxic
Fe2O3,42.5,957,-8.2,82.8,-4.99,24,1,1.83,3,nonToxic
Fe2O3,42.5,957,-8.2,82.8,-4.99,24,5,1.83,3,nonToxic
Fe2O3,42.5,957,-8.2,82.8,-4.99,24,10,1.83,3,nonToxic
Fe2O3,42.5,957,-8.2,82.8,-4.99,24,20,1.83,3,nonToxic
